12.5	1062.5
12.5	1104.5
22.5	976
22.5	1018.5
24.5	1174
45.5	921.3333333
45.5	1239.333333
52.5	879.6666667
60.5	836.5
67.5	1274
104.5	843.5
108.5	1288.666667
155	852.5
172.5	805.3333333
175	1287
195.5	767.5
246.5	720.6666667
258.5	1286.5
286.5	705.5
299.5	1293.5
305	664
348.5	1293.333333
377	603.5
394	1293.5
414.5	566.8333333
428	479
439.5	1293.333333
441.5	370
453	538.5
472	420
475	324.25
477.5	248.5
480.5	1213.333333
482.5	1162.166667
502.5	213.8333333
502.5	281.6666667
504	1126.5
514.5	1293.333333
523.5	143.6666667
526.5	1224.333333
534.5	182.5
542	1079.5
542.5	1261.5
587	1042.25
590.5	99.16666667
605.5	44.5
654.5	1001.5
682	51.25
709.5	1290.333333
718	1246.25
723.5	1024
733.5	25.83333333
733.5	1194.5
736.5	1063.166667
752.5	1288
762.5	1103.5
766.5	1163.5
777.5	39.16666667
801	1290
820	46
869.5	52.5
872.5	1289.833333
914.5	1286
942.5	86.33333333
956.5	942.1666667
961.5	1296
979.5	113.8333333
979.5	987
992.5	902
1001.5	1021.333333
1032	553.25
1032	1290.5
1033	130.5
1037.5	204.8333333
1041.5	894
1045.5	491.6666667
1050.5	1040.5
1054.5	609.5
1055.5	377.5
1057.5	451
1068.5	659.6666667
1076	225
1078.5	712
1082.5	1285.5
1096	752
1103	893.25
1107	310
1109.5	261.3333333
1111.5	801.6666667
1124.5	1272.5
1126.5	845.5
1128.5	1056.5
1134.5	1149.5
1143	1210.5
1155	1103.25
